filename,filepath,original_width,original_height,original_aspect,channels,norm_width,norm_height,color_mean_R,color_std_R,color_mean_G,color_std_G,color_mean_B,color_std_B,color_mean_hsv_H,color_mean_hsv_S,color_mean_hsv_V,glcm_contrast_d1_a0,glcm_contrast_d1_a45,glcm_contrast_d1_a90,glcm_contrast_d1_a135,glcm_contrast_d3_a0,glcm_contrast_d3_a45,glcm_contrast_d3_a90,glcm_contrast_d3_a135,glcm_dissimilarity_d1_a0,glcm_dissimilarity_d1_a45,glcm_dissimilarity_d1_a90,glcm_dissimilarity_d1_a135,glcm_dissimilarity_d3_a0,glcm_dissimilarity_d3_a45,glcm_dissimilarity_d3_a90,glcm_dissimilarity_d3_a135,glcm_homogeneity_d1_a0,glcm_homogeneity_d1_a45,glcm_homogeneity_d1_a90,glcm_homogeneity_d1_a135,glcm_homogeneity_d3_a0,glcm_homogeneity_d3_a45,glcm_homogeneity_d3_a90,glcm_homogeneity_d3_a135,glcm_energy_d1_a0,glcm_energy_d1_a45,glcm_energy_d1_a90,glcm_energy_d1_a135,glcm_energy_d3_a0,glcm_energy_d3_a45,glcm_energy_d3_a90,glcm_energy_d3_a135,glcm_correlation_d1_a0,glcm_correlation_d1_a45,glcm_correlation_d1_a90,glcm_correlation_d1_a135,glcm_correlation_d3_a0,glcm_correlation_d3_a45,glcm_correlation_d3_a90,glcm_correlation_d3_a135,glcm_ASM_d1_a0,glcm_ASM_d1_a45,glcm_ASM_d1_a90,glcm_ASM_d1_a135,glcm_ASM_d3_a0,glcm_ASM_d3_a45,glcm_ASM_d3_a90,glcm_ASM_d3_a135,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std,hog_mean,hog_std,hog_max,hog_energy,hog_vector_length,sift_num_keypoints,sift_mean_response,sift_std_response,sift_mean_size,sift_mean_angle,sift_descriptor_mean,sift_descriptor_std,surf_method,surf_num_keypoints,surf_descriptor_mean,surf_descriptor_std,surf_mean_response,surf_mean_size,status
0000_image10025.jpg,c:\Users\ADMIN\Pictures\btl\0000_image10025.jpg,224,224,1.0,3,224,224,158.0056,57.951496,156.528015,59.895687,158.762222,59.833889,84.784615,20.490852,163.293686,10.23955,23.519596,15.149083,23.097026,32.637282,50.816999,49.358799,49.002009,1.783032,2.849122,1.879785,2.833196,3.36995,4.295694,3.709155,4.269438,0.538307,0.424461,0.58731,0.421132,0.376195,0.331198,0.443375,0.328891,0.080905,0.071349,0.0907,0.070818,0.060882,0.060619,0.076335,0.060046,0.976535,0.946195,0.96535,0.947162,0.925174,0.883893,0.887396,0.888045,0.006546,0.005091,0.008226,0.005015,0.003707,0.003675,0.005827,0.003605,31.727543,15.21898,3.123671,0.907895,0.431359,0.086335,0.071457,0.010267,0.927469,0.034722,0.005211,0.001521,0.109216,0.125895,0.692582,729.0,26244,205,0.041693,0.009224,6.711925,197.784582,23.350153,38.764477,ORB_fallback,317,140.996552,73.818146,7.1e-05,40.908536,success
0001_image10097.jpg,c:\Users\ADMIN\Pictures\btl\0001_image10097.jpg,224,224,1.0,3,224,224,120.150986,61.003246,114.994102,61.279228,111.536674,61.683674,56.929188,37.658661,122.84066,21.832299,45.92626,29.079236,45.928714,87.627909,110.734559,118.558319,110.296303,2.587104,3.794868,2.715567,3.861188,5.273998,6.0349,5.854295,6.066127,0.453597,0.367536,0.479846,0.365618,0.307732,0.283916,0.337744,0.286605,0.053923,0.045819,0.056674,0.045505,0.040696,0.038456,0.042606,0.038736,0.952672,0.900556,0.937207,0.900555,0.809552,0.760019,0.74467,0.761008,0.002908,0.002099,0.003212,0.002071,0.001656,0.001479,0.001815,0.0015,71.24795,37.237244,4.523506,1.368672,0.360324,0.068569,0.045302,0.006348,0.84578,0.080516,0.002093,0.000603,0.123134,0.11232,0.546924,729.0,26244,397,0.074259,0.011483,4.260251,165.769922,25.374725,37.470989,ORB_fallback,433,128.170685,74.281136,0.001294,46.976382,success
0002_image1051.jpg,c:\Users\ADMIN\Pictures\btl\0002_image1051.jpg,224,224,1.0,3,224,224,195.95253,51.112232,182.82869,62.737915,173.162369,68.975212,25.419184,40.131279,196.511566,40.740631,64.941483,22.435838,50.55899,88.548521,117.102508,91.031169,119.649379,2.519739,3.57017,1.915259,3.225201,4.351164,5.166748,4.215235,5.202743,0.649841,0.556376,0.656824,0.561205,0.499844,0.464444,0.530738,0.468493,0.112815,0.097672,0.117209,0.098046,0.086674,0.083082,0.099093,0.083679,0.907559,0.852945,0.949047,0.885512,0.800263,0.736139,0.794082,0.730391,0.012727,0.00954,0.013738,0.009613,0.007512,0.006903,0.009819,0.007002,74.376065,33.23941,3.770782,1.111283,0.548471,0.069261,0.097284,0.011946,0.831992,0.074724,0.009607,0.002381,0.106514,0.128189,0.692526,729.0,26244,193,0.073319,0.007457,2.956574,169.061767,25.500526,37.392258,ORB_fallback,419,134.818024,73.636986,0.001657,45.784497,success
0003_image10324.jpg,c:\Users\ADMIN\Pictures\btl\0003_image10324.jpg,224,224,1.0,3,224,224,225.870834,39.5299,225.759354,39.976604,225.569946,40.336224,15.30387,1.142937,226.121994,5.100777,8.837539,4.402346,9.319069,18.021089,19.003003,14.49798,21.29612,0.52054,0.837298,0.52106,0.880331,1.233476,1.350702,1.100477,1.466845,0.88556,0.844302,0.891422,0.840916,0.821515,0.810214,0.839709,0.806809,0.524106,0.516509,0.523425,0.516027,0.508025,0.506256,0.511997,0.504761,0.973654,0.954449,0.977262,0.951967,0.90731,0.902459,0.925431,0.890689,0.274687,0.266782,0.273974,0.266284,0.258089,0.256295,0.262141,0.254784,12.559741,6.102858,0.988841,0.336267,0.842556,0.029618,0.513888,0.006949,0.935403,0.031276,0.26413,0.007152,0.053318,0.131003,1.0,525.0,26244,61,0.031968,0.012607,7.717815,174.553271,21.502306,39.843529,ORB_fallback,156,134.138824,74.601028,9.6e-05,43.290095,success
0004_image0934.jpg,c:\Users\ADMIN\Pictures\btl\0004_image0934.jpg,224,224,1.0,3,224,224,248.342636,26.728943,248.022766,27.927202,247.746307,28.69717,7.643475,1.268694,248.375656,7.975336,11.701743,3.902827,11.380362,34.710488,29.896072,14.532886,29.449842,0.450993,0.663878,0.298286,0.646866,1.18047,1.176366,0.694853,1.152017,0.948256,0.924528,0.948152,0.925329,0.924673,0.909346,0.924094,0.910473,0.893994,0.888492,0.894505,0.888556,0.884334,0.881276,0.885513,0.881701,0.914973,0.875769,0.958391,0.879181,0.633064,0.685278,0.846368,0.689976,0.799225,0.789418,0.800139,0.789531,0.782047,0.776648,0.784134,0.777397,17.943694,10.877518,0.782966,0.322986,0.926856,0.013723,0.887296,0.004735,0.810375,0.114423,0.787317,0.008409,0.025509,0.099711,1.0,278.0,26244,41,0.049046,0.022992,6.726418,189.020123,22.844131,39.060917,ORB_fallback,146,126.518623,74.220871,0.000954,44.263397,success
0005_image10350.jpg,c:\Users\ADMIN\Pictures\btl\0005_image10350.jpg,224,224,1.0,3,224,224,178.219254,58.531597,144.971786,64.863144,106.930344,71.224205,22.736567,119.173927,179.38092,27.565343,37.08299,18.153607,32.784773,85.898291,70.276662,60.091366,64.855917,2.835842,3.258461,2.196649,3.008506,5.337892,4.710758,4.257939,4.406846,0.453371,0.41821,0.518554,0.443192,0.318353,0.3435,0.364005,0.371166,0.068745,0.063261,0.07485,0.067649,0.053094,0.054689,0.057039,0.059409,0.943365,0.923817,0.962667,0.932647,0.82383,0.855766,0.876433,0.866893,0.004726,0.004002,0.005603,0.004576,0.002819,0.002991,0.003253,0.003529,49.588619,22.365515,3.751612,1.01081,0.403794,0.06222,0.062342,0.007135,0.898177,0.045859,0.003937,0.000907,0.127115,0.107794,0.724081,729.0,26244,331,0.062466,0.006854,5.646585,197.591783,25.046474,37.693169,ORB_fallback,435,131.878235,73.864586,0.001048,47.115056,success
0006_image10098.jpg,c:\Users\ADMIN\Pictures\btl\0006_image10098.jpg,224,224,1.0,3,224,224,159.969528,70.285767,158.740845,71.849319,147.469742,69.049217,38.152164,32.33548,162.286057,47.504705,63.772688,20.660694,65.498602,157.00507,146.160316,67.307713,149.63828,3.21831,4.386334,2.438041,4.435199,6.60987,6.805312,4.622596,6.87637,0.460801,0.341245,0.459319,0.341216,0.305941,0.26591,0.320528,0.266929,0.054198,0.044509,0.055585,0.044687,0.03975,0.03772,0.042517,0.037971,0.924489,0.898311,0.967042,0.895558,0.750516,0.766306,0.891972,0.760738,0.002937,0.001981,0.00309,0.001997,0.00158,0.001423,0.001808,0.001442,89.693508,49.518372,4.924004,1.577239,0.345236,0.071573,0.044617,0.006442,0.856867,0.078986,0.002032,0.000604,0.115047,0.12059,0.638702,729.0,26244,325,0.065864,0.012188,5.167471,191.23987,23.479712,38.690922,ORB_fallback,395,142.963287,74.503777,0.000483,44.471846,success
0007_image0649.jpg,c:\Users\ADMIN\Pictures\btl\0007_image0649.jpg,224,224,1.0,3,224,224,133.305069,47.890091,126.160873,48.622807,118.479752,48.428642,22.348354,31.8577,133.349915,17.907011,35.698184,23.120255,36.385811,62.524927,71.315539,69.994425,73.079539,2.224075,3.473084,2.578055,3.50729,4.531028,5.089786,4.735011,5.194384,0.518423,0.406945,0.506301,0.405754,0.363518,0.329811,0.388008,0.324889,0.068494,0.05712,0.070026,0.057065,0.050741,0.04878,0.055305,0.048046,0.938103,0.876337,0.920671,0.873963,0.779518,0.749888,0.758576,0.743761,0.004691,0.003263,0.004904,0.003256,0.002575,0.00238,0.003059,0.002308,48.753211,21.428955,3.916589,1.065188,0.405456,0.0682,0.056947,0.007839,0.830102,0.075409,0.003304,0.00093,0.117777,0.117925,0.675912,729.0,26244,439,0.053953,0.007459,4.865846,167.711281,25.797819,37.183731,ORB_fallback,414,130.523026,74.532471,0.000556,45.331303,success
0008_image10125.jpg,c:\Users\ADMIN\Pictures\btl\0008_image10125.jpg,224,224,1.0,3,224,224,220.867645,30.374928,219.148773,32.271053,215.033524,37.087009,11.337671,8.419942,220.958069,1.981222,11.653261,10.220572,11.814836,5.875485,26.944952,34.668289,27.285914,0.36483,1.0849,0.950432,1.104346,0.708912,1.797886,2.095083,1.835748,0.890775,0.787493,0.810753,0.783956,0.826998,0.734305,0.723694,0.729572,0.238117,0.218938,0.226205,0.219041,0.222767,0.204633,0.205972,0.205686,0.9848,0.910887,0.92161,0.909651,0.955192,0.795238,0.735848,0.792647,0.0567,0.047934,0.051169,0.047979,0.049625,0.041875,0.042425,0.042307,16.305566,10.975913,1.242767,0.566959,0.785943,0.053638,0.21767,0.011016,0.875734,0.083405,0.047502,0.00484,0.080847,0.14284,1.0,707.0,26244,35,0.030042,0.02228,5.191218,217.168443,22.976786,38.984711,ORB_fallback,167,144.481476,73.531891,8.2e-05,43.043406,success
0009_image10154.jpg,c:\Users\ADMIN\Pictures\btl\0009_image10154.jpg,224,224,1.0,3,224,224,115.177299,49.463116,95.92337,48.427803,77.933571,48.163807,15.50269,96.776466,115.222954,16.141856,23.887631,11.068266,23.869171,41.249475,45.769377,36.273836,44.804196,2.032671,2.698466,1.663197,2.69372,3.629686,3.990748,3.359163,3.985675,0.555983,0.466202,0.586308,0.46249,0.409513,0.374719,0.417277,0.357887,0.068314,0.057568,0.071739,0.057037,0.051039,0.047726,0.051914,0.046376,0.944351,0.917605,0.962021,0.917669,0.85761,0.842241,0.875442,0.845576,0.004667,0.003314,0.005146,0.003253,0.002605,0.002278,0.002695,0.002151,30.382976,12.53985,3.006666,0.820501,0.453797,0.07663,0.056464,0.008686,0.895314,0.043241,0.003264,0.00103,0.122953,0.112518,0.681066,729.0,26244,293,0.046889,0.005097,3.909703,138.426428,25.848816,37.148777,ORB_fallback,396,136.456039,74.703392,0.000298,44.568404,success
